pickup,dropoff,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-19 16:13:05,2019-03-19 16:14:39,Greenwich Village North,Greenwich Village North,Manhattan,Manhattan
2019-03-16 13:18:43,2019-03-16 13:33:44,West Chelsea/Hudson Yards,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-14 07:59:57,2019-03-14 08:09:42,Upper East Side South,Upper East Side North,Manhattan,Manhattan
2019-03-15 14:19:05,2019-03-15 14:20:39,Lenox Hill West,Yorkville West,Manhattan,Manhattan
2019-03-07 17:15:41,2019-03-07 17:18:41,Upper West Side South,Upper West Side North,Manhattan,Manhattan
2019-03-30 23:38:33,2019-03-30 23:48:10,SoHo,Lower East Side,Manhattan,Manhattan
2019-03-03 21:02:46,2019-03-03 21:22:46,LaGuardia Airport,Upper East Side South,Queens,Manhattan
2019-03-07 18:49:41,2019-03-07 19:07:05,Yorkville West,Lincoln Square East,Manhattan,Manhattan
2019-03-07 13:07:41,2019-03-07 13:22:19,Midtown Center,Union Sq,Manhattan,Manhattan
2019-03-09 02:35:34,2019-03-09 03:10:06,Gramercy,Washington Heights South,Manhattan,Manhattan
2019-03-26 22:40:00,2019-03-26 22:56:19,Midtown East,Greenpoint,Manhattan,Brooklyn
2019-03-05 07:01:12,2019-03-05 07:10:34,Financial District North,TriBeCa/Civic Center,Manhattan,Manhattan
2019-03-04 22:21:05,2019-03-04 22:30:40,Midtown Center,Yorkville West,Manhattan,Manhattan
2019-03-18 15:10:01,2019-03-18 15:30:21,Upper East Side North,LaGuardia Airport,Manhattan,Queens
2019-03-24 06:21:12,2019-03-24 06:46:32,JFK Airport,Brooklyn Heights,Queens,Brooklyn
2019-03-19 09:38:21,2019-03-19 09:58:34,Kips Bay,East Chelsea,Manhattan,Manhattan
2019-03-28 13:18:44,2019-03-28 13:27:20,Lenox Hill East,Upper East Side North,Manhattan,Manhattan
2019-03-24 00:27:46,2019-03-24 00:35:12,West Village,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-06 14:39:34,2019-03-06 14:46:56,Murray Hill,Garment District,Manhattan,Manhattan
2019-03-31 19:48:55,2019-03-31 20:00:50,Greenwich Village North,Meatpacking/West Village West,Manhattan,Manhattan
2019-03-30 09:25:34,2019-03-30 09:28:42,Times Sq/Theatre District,Garment District,Manhattan,Manhattan
2019-03-19 11:00:45,2019-03-19 11:07:21,Lincoln Square East,Upper West Side North,Manhattan,Manhattan
2019-03-08 22:06:50,2019-03-08 22:22:07,Lenox Hill West,East Village,Manhattan,Manhattan
2019-03-03 22:42:09,2019-03-03 22:47:36,Lincoln Square East,Lincoln Square West,Manhattan,Manhattan
2019-03-17 06:49:50,2019-03-17 06:59:38,East Village,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-24 08:53:31,2019-03-24 08:57:29,Chinatown,Greenwich Village South,Manhattan,Manhattan
2019-03-28 19:48:23,2019-03-28 20:04:37,Times Sq/Theatre District,Union Sq,Manhattan,Manhattan
2019-03-01 09:33:42,2019-03-01 09:48:36,Clinton East,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-15 22:38:47,2019-03-15 22:41:19,Clinton East,Lincoln Square West,Manhattan,Manhattan
2019-03-12 18:23:06,2019-03-12 18:31:25,Midtown Center,Midtown South,Manhattan,Manhattan
2019-03-12 09:24:13,2019-03-12 09:40:30,Hudson Sq,East Chelsea,Manhattan,Manhattan
2019-03-14 19:06:21,2019-03-14 19:28:14,East Chelsea,Garment District,Manhattan,Manhattan
2019-03-01 08:32:53,2019-03-01 08:47:18,Hudson Sq,Alphabet City,Manhattan,Manhattan
2019-03-31 00:14:24,2019-03-31 00:29:29,East Village,Two Bridges/Seward Park,Manhattan,Manhattan
2019-03-06 22:16:22,2019-03-06 22:28:48,Times Sq/Theatre District,Upper East Side North,Manhattan,Manhattan
2019-03-02 07:28:47,2019-03-02 07:35:25,Upper East Side South,Murray Hill,Manhattan,Manhattan
2019-03-18 08:01:22,2019-03-18 08:09:14,Little Italy/NoLiTa,Greenwich Village North,Manhattan,Manhattan
2019-03-08 18:37:06,2019-03-08 18:44:08,Morningside Heights,Upper West Side North,Manhattan,Manhattan
2019-03-26 14:18:55,2019-03-26 14:27:01,East Village,Gramercy,Manhattan,Manhattan
2019-03-31 10:54:31,2019-03-31 10:57:34,Williamsburg (South Side),Williamsburg (South Side),Brooklyn,Brooklyn
2019-03-07 16:31:21,2019-03-07 16:40:50,TriBeCa/Civic Center,SoHo,Manhattan,Manhattan
2019-03-17 03:42:53,2019-03-17 03:50:53,Union Sq,Financial District North,Manhattan,Manhattan
2019-03-30 18:52:10,2019-03-30 19:04:46,Midtown South,Upper East Side North,Manhattan,Manhattan
2019-03-06 22:04:19,2019-03-06 22:12:56,Battery Park City,TriBeCa/Civic Center,Manhattan,Manhattan
2019-03-28 21:26:12,2019-03-28 21:33:37,Midtown North,Garment District,Manhattan,Manhattan
2019-03-29 09:44:36,2019-03-29 10:07:13,Upper East Side South,Garment District,Manhattan,Manhattan
2019-03-21 16:33:14,2019-03-21 17:17:49,Midtown Center,LaGuardia Airport,Manhattan,Queens
2019-03-10 05:10:07,2019-03-10 05:25:27,Meatpacking/West Village West,Lincoln Square West,Manhattan,Manhattan
2019-03-08 02:41:09,2019-03-08 03:03:39,Clinton East,Cobble Hill,Manhattan,Brooklyn
2019-03-02 00:50:31,2019-03-02 00:58:26,Kips Bay,West Village,Manhattan,Manhattan
2019-03-26 17:03:17,2019-03-26 17:39:56,LaGuardia Airport,Garment District,Queens,Manhattan
2019-03-16 15:37:34,2019-03-16 15:46:58,West Village,Gramercy,Manhattan,Manhattan
2019-03-31 17:36:23,2019-03-31 17:49:11,LaGuardia Airport,Sunnyside,Queens,Queens
2019-03-11 00:27:49,2019-03-11 00:31:23,UN/Turtle Bay South,Gramercy,Manhattan,Manhattan
2019-03-06 13:33:16,2019-03-06 13:44:52,West Village,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-15 16:13:07,2019-03-15 16:17:32,Upper East Side South,Upper East Side South,Manhattan,Manhattan
2019-03-30 22:16:03,2019-03-30 22:43:13,West Village,Midtown North,Manhattan,Manhattan
2019-03-27 02:08:11,2019-03-27 02:38:39,JFK Airport,East New York,Queens,Brooklyn
2019-03-22 19:25:34,2019-03-22 19:39:24,Midtown Center,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-14 07:19:23,2019-03-14 07:27:28,Penn Station/Madison Sq West,Greenwich Village South,Manhattan,Manhattan
2019-03-05 14:20:23,2019-03-05 14:28:41,Midtown North,Lincoln Square East,Manhattan,Manhattan
2019-03-24 12:24:59,2019-03-24 12:33:26,Lenox Hill East,Midtown East,Manhattan,Manhattan
2019-03-23 16:19:54,2019-03-23 16:22:52,Hudson Sq,Meatpacking/West Village West,Manhattan,Manhattan
2019-03-28 11:30:22,2019-03-28 11:40:46,Midtown Center,Garment District,Manhattan,Manhattan
2019-03-07 14:27:58,2019-03-07 14:45:49,Sunnyside,Elmhurst,Queens,Queens
2019-03-19 18:22:18,2019-03-19 18:37:55,Penn Station/Madison Sq West,Lincoln Square East,Manhattan,Manhattan
2019-03-21 11:47:07,2019-03-21 12:00:06,Midtown North,Lincoln Square East,Manhattan,Manhattan
2019-03-16 17:54:48,2019-03-16 18:30:32,Penn Station/Madison Sq West,East Williamsburg,Manhattan,Brooklyn
2019-03-23 03:12:19,2019-03-23 03:18:48,West Village,Little Italy/NoLiTa,Manhattan,Manhattan
2019-03-12 12:07:21,2019-03-12 12:18:08,Washington Heights South,University Heights/Morris Heights,Manhattan,Bronx
2019-03-18 17:54:03,2019-03-18 17:57:34,West Village,SoHo,Manhattan,Manhattan
2019-03-31 14:38:27,2019-03-31 14:57:02,Penn Station/Madison Sq West,Financial District North,Manhattan,Manhattan
2019-03-06 11:44:21,2019-03-06 12:03:05,Upper East Side North,Midtown Center,Manhattan,Manhattan
2019-03-04 09:03:11,2019-03-04 09:20:35,Astoria,UN/Turtle Bay South,Queens,Manhattan
2019-03-14 19:27:03,2019-03-14 19:30:46,Upper East Side South,Upper East Side North,Manhattan,Manhattan
2019-03-17 21:21:53,2019-03-17 21:27:29,Lincoln Square East,Lincoln Square East,Manhattan,Manhattan
2019-03-30 00:02:40,2019-03-30 00:11:25,Midtown South,Kips Bay,Manhattan,Manhattan
2019-03-03 01:24:45,2019-03-03 01:29:32,,West Chelsea/Hudson Yards,,Manhattan
2019-03-05 20:33:14,2019-03-05 20:56:57,TriBeCa/Civic Center,East Harlem South,Manhattan,Manhattan
2019-03-13 12:11:35,2019-03-13 12:24:33,Manhattan Valley,Upper East Side North,Manhattan,Manhattan
2019-03-29 00:20:16,2019-03-29 00:24:06,Hudson Sq,SoHo,Manhattan,Manhattan
2019-03-05 09:52:36,2019-03-05 10:03:47,Greenwich Village North,Murray Hill,Manhattan,Manhattan
2019-03-30 12:34:41,2019-03-30 13:09:35,Battery Park City,LaGuardia Airport,Manhattan,Queens
2019-03-25 22:14:18,2019-03-25 22:26:38,Garment District,East Village,Manhattan,Manhattan
2019-03-01 16:06:38,2019-03-01 16:19:31,Murray Hill,Clinton West,Manhattan,Manhattan
2019-03-31 18:51:15,2019-03-31 19:01:14,Times Sq/Theatre District,Lenox Hill West,Manhattan,Manhattan
2019-03-07 22:58:59,2019-03-07 23:02:40,Sutton Place/Turtle Bay North,Murray Hill,Manhattan,Manhattan
2019-03-22 09:27:23,2019-03-22 09:47:03,Gramercy,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-15 17:00:51,2019-03-15 17:06:36,Greenwich Village North,East Village,Manhattan,Manhattan
2019-03-23 13:15:50,2019-03-23 13:30:47,Penn Station/Madison Sq West,East Chelsea,Manhattan,Manhattan
2019-03-11 11:15:43,2019-03-11 11:27:36,Lenox Hill West,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-10 17:43:09,2019-03-10 17:55:08,Clinton West,Meatpacking/West Village West,Manhattan,Manhattan
2019-03-09 17:14:24,2019-03-09 17:23:42,Midtown Center,Upper East Side North,Manhattan,Manhattan
2019-03-01 22:39:03,2019-03-01 22:51:14,Midtown North,Upper West Side North,Manhattan,Manhattan
2019-03-23 15:08:14,2019-03-23 15:35:29,Penn Station/Madison Sq West,Lenox Hill West,Manhattan,Manhattan
2019-03-10 10:15:12,2019-03-10 10:21:50,Upper East Side South,Murray Hill,Manhattan,Manhattan
2019-03-18 15:42:31,2019-03-18 15:52:16,Lincoln Square East,Upper East Side North,Manhattan,Manhattan
2019-03-04 09:52:32,2019-03-04 09:57:07,Flatiron,Greenwich Village South,Manhattan,Manhattan
2019-03-26 19:53:13,2019-03-26 19:56:27,Midtown East,Lenox Hill West,Manhattan,Manhattan
2019-03-22 20:42:52,2019-03-22 21:07:53,Williamsburg (South Side),Park Slope,Brooklyn,Brooklyn
2019-03-29 06:49:41,2019-03-29 06:54:41,Garment District,Murray Hill,Manhattan,Manhattan
2019-03-01 11:50:32,2019-03-01 11:59:16,East Village,SoHo,Manhattan,Manhattan
2019-03-05 12:57:42,2019-03-05 13:00:41,West Village,Flatiron,Manhattan,Manhattan
2019-03-12 17:39:50,2019-03-12 17:48:09,Lincoln Square East,Upper West Side North,Manhattan,Manhattan
2019-03-01 14:21:09,2019-03-01 14:39:12,Yorkville West,Midtown Center,Manhattan,Manhattan
2019-03-19 09:05:04,2019-03-19 09:16:59,Lincoln Square East,Yorkville West,Manhattan,Manhattan
2019-03-25 15:47:47,2019-03-25 16:15:56,Battery Park City,LaGuardia Airport,Manhattan,Queens
2019-03-06 11:24:49,2019-03-06 11:34:37,Little Italy/NoLiTa,Union Sq,Manhattan,Manhattan
2019-03-06 07:42:02,2019-03-06 07:54:57,Yorkville East,Midtown North,Manhattan,Manhattan
2019-03-28 16:50:32,2019-03-28 17:02:14,Upper East Side South,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-08 16:01:14,2019-03-08 16:19:09,Midtown East,Garment District,Manhattan,Manhattan
2019-03-25 12:55:19,2019-03-25 13:04:12,West Village,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-30 22:29:57,2019-03-30 22:44:26,Sutton Place/Turtle Bay North,Seaport,Manhattan,Manhattan
2019-03-27 14:37:38,2019-03-27 14:44:19,Lincoln Square West,Upper West Side North,Manhattan,Manhattan
2019-03-15 15:39:44,2019-03-15 16:36:49,UN/Turtle Bay South,JFK Airport,Manhattan,Queens
2019-03-31 07:52:57,2019-03-31 07:58:31,Meatpacking/West Village West,TriBeCa/Civic Center,Manhattan,Manhattan
2019-03-17 21:28:42,2019-03-17 21:44:25,Upper West Side South,East Chelsea,Manhattan,Manhattan
2019-03-24 16:03:55,2019-03-24 16:37:14,LaGuardia Airport,Upper West Side North,Queens,Manhattan
2019-03-16 19:55:52,2019-03-16 20:10:26,Flatiron,West Chelsea/Hudson Yards,Manhattan,Manhattan
2019-03-14 18:19:17,2019-03-14 18:27:37,Upper East Side North,Lincoln Square East,Manhattan,Manhattan
2019-03-18 21:52:51,2019-03-18 22:23:12,Midtown Center,Clinton Hill,Manhattan,Brooklyn
2019-03-02 10:32:56,2019-03-02 10:46:13,Garment District,Midtown North,Manhattan,Manhattan
2019-03-14 16:49:58,2019-03-14 17:07:29,Penn Station/Madison Sq West,Upper East Side North,Manhattan,Manhattan
2019-03-24 15:56:51,2019-03-24 16:01:10,Union Sq,Union Sq,Manhattan,Manhattan
2019-03-19 09:53:06,2019-03-19 09:57:25,Midtown East,Midtown North,Manhattan,Manhattan
2019-03-14 19:07:34,2019-03-14 19:27:16,Midtown Center,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-06 20:29:15,2019-03-06 20:37:55,Midtown Center,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-17 20:59:27,2019-03-17 21:17:14,LaGuardia Airport,Gramercy,Queens,Manhattan
2019-03-19 09:06:14,2019-03-19 09:13:28,Manhattan Valley,Upper West Side South,Manhattan,Manhattan
2019-03-19 14:25:42,2019-03-19 14:33:07,Upper East Side South,Lenox Hill West,Manhattan,Manhattan
2019-03-10 23:32:24,2019-03-10 23:47:17,Chinatown,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-08 20:08:54,2019-03-08 20:21:56,Upper East Side South,Upper West Side North,Manhattan,Manhattan
2019-03-31 00:47:04,2019-03-31 01:03:48,Meatpacking/West Village West,Gramercy,Manhattan,Manhattan
2019-03-12 08:39:53,2019-03-12 09:08:13,Lincoln Square East,Union Sq,Manhattan,Manhattan
2019-03-31 15:32:00,2019-03-31 15:51:27,World Trade Center,Sutton Place/Turtle Bay North,Manhattan,Manhattan
2019-03-29 17:50:08,2019-03-29 18:10:22,Kips Bay,Garment District,Manhattan,Manhattan
2019-03-21 18:08:42,2019-03-21 18:33:24,Kips Bay,Midtown North,Manhattan,Manhattan
2019-03-23 18:35:04,2019-03-23 18:45:07,Astoria,Astoria,Queens,Queens
2019-03-10 01:43:32,2019-03-10 01:45:22,JFK Airport,JFK Airport,Queens,Queens
2019-03-30 12:55:12,2019-03-30 13:03:45,Clinton East,East Chelsea,Manhattan,Manhattan
2019-03-22 14:02:01,2019-03-22 14:29:30,Times Sq/Theatre District,Midtown South,Manhattan,Manhattan
2019-03-10 09:33:13,2019-03-10 09:52:04,,,,
2019-03-21 19:44:05,2019-03-21 20:02:01,Penn Station/Madison Sq West,Gramercy,Manhattan,Manhattan
2019-03-05 21:20:37,2019-03-05 21:35:33,LaGuardia Airport,Richmond Hill,Queens,Queens
2019-03-18 16:18:58,2019-03-18 16:26:04,Midtown Center,Midtown East,Manhattan,Manhattan
2019-03-27 06:25:26,2019-03-27 06:29:01,Morningside Heights,Upper West Side North,Manhattan,Manhattan
2019-03-06 21:26:14,2019-03-06 21:34:51,Times Sq/Theatre District,Midtown South,Manhattan,Manhattan
2019-03-10 09:30:10,2019-03-10 09:35:32,UN/Turtle Bay South,Gramercy,Manhattan,Manhattan
2019-03-24 11:48:12,2019-03-24 12:04:22,Murray Hill,Garment District,Manhattan,Manhattan
2019-03-08 18:59:13,2019-03-08 19:13:39,Gramercy,Lower East Side,Manhattan,Manhattan
2019-03-18 15:13:20,2019-03-18 15:18:16,Upper East Side South,Upper East Side North,Manhattan,Manhattan
2019-03-27 21:30:02,2019-03-27 21:34:02,Upper East Side South,Lenox Hill West,Manhattan,Manhattan
2019-03-08 23:12:14,2019-03-08 23:17:15,East Chelsea,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-24 14:16:54,2019-03-24 14:23:09,Clinton East,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-01 20:05:26,2019-03-01 20:12:28,Lenox Hill West,Upper West Side South,Manhattan,Manhattan
2019-03-31 09:34:59,2019-03-31 09:45:27,TriBeCa/Civic Center,East Village,Manhattan,Manhattan
2019-03-13 15:11:46,2019-03-13 15:56:23,Lincoln Square East,LaGuardia Airport,Manhattan,Queens
2019-03-30 03:52:04,2019-03-30 03:58:15,Greenwich Village South,SoHo,Manhattan,Manhattan
2019-03-01 10:39:19,2019-03-01 11:01:00,Times Sq/Theatre District,Midtown East,Manhattan,Manhattan
2019-03-12 14:17:24,2019-03-12 14:20:12,Murray Hill,Murray Hill,Manhattan,Manhattan
2019-03-05 13:30:27,2019-03-05 13:47:44,Lenox Hill East,Upper West Side South,Manhattan,Manhattan
2019-03-04 17:07:12,2019-03-04 17:12:00,Lenox Hill East,Lenox Hill West,Manhattan,Manhattan
2019-03-10 23:00:03,2019-03-10 23:13:05,Clinton East,Yorkville West,Manhattan,Manhattan
2019-03-19 16:06:15,2019-03-19 16:09:14,Murray Hill,Murray Hill,Manhattan,Manhattan
2019-03-29 07:52:46,2019-03-29 08:02:40,Yorkville East,,Manhattan,
2019-03-01 21:46:40,2019-03-01 22:08:18,West Village,Williamsburg (North Side),Manhattan,Brooklyn
2019-03-05 17:20:51,2019-03-05 17:29:04,Clinton East,Upper West Side South,Manhattan,Manhattan
2019-03-15 16:03:39,2019-03-15 16:13:15,SoHo,East Chelsea,Manhattan,Manhattan
2019-03-30 19:11:59,2019-03-30 19:18:32,Midtown East,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-21 18:43:22,2019-03-21 19:45:04,Midtown Center,JFK Airport,Manhattan,Queens
2019-03-30 11:01:46,2019-03-30 11:03:47,West Village,West Village,Manhattan,Manhattan
2019-03-26 00:09:11,2019-03-26 00:19:26,Midtown East,East Village,Manhattan,Manhattan
2019-03-06 07:49:53,2019-03-06 07:54:25,Hudson Sq,Little Italy/NoLiTa,Manhattan,Manhattan
2019-03-13 18:30:02,2019-03-13 18:34:40,Sutton Place/Turtle Bay North,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-25 18:12:38,2019-03-25 18:18:19,Union Sq,Murray Hill,Manhattan,Manhattan
2019-03-09 00:54:57,2019-03-09 01:03:36,Greenwich Village South,World Trade Center,Manhattan,Manhattan
2019-03-27 17:30:35,2019-03-27 17:44:31,Garment District,Lincoln Square East,Manhattan,Manhattan
2019-03-20 22:11:29,2019-03-20 22:21:49,Greenpoint,Astoria,Brooklyn,Queens
2019-03-29 23:35:26,2019-03-30 00:01:04,Lower East Side,Clinton East,Manhattan,Manhattan
2019-03-23 02:18:09,2019-03-23 02:32:25,Williamsburg (North Side),Crown Heights North,Brooklyn,Brooklyn
2019-03-27 11:47:04,2019-03-27 12:03:33,Midtown Center,Clinton East,Manhattan,Manhattan
2019-03-08 20:29:05,2019-03-08 20:33:15,Boerum Hill,Downtown Brooklyn/MetroTech,Brooklyn,Brooklyn
2019-03-20 22:06:04,2019-03-20 22:14:08,Garment District,Flatiron,Manhattan,Manhattan
2019-03-18 21:09:51,2019-03-18 21:19:06,Garment District,Clinton East,Manhattan,Manhattan
2019-03-19 13:21:04,2019-03-19 14:04:47,Penn Station/Madison Sq West,Astoria,Manhattan,Queens
2019-03-09 14:26:25,2019-03-09 14:38:56,Midtown Center,East Chelsea,Manhattan,Manhattan
2019-03-31 14:50:04,2019-03-31 15:06:27,Greenwich Village South,Murray Hill,Manhattan,Manhattan
2019-03-12 05:50:18,2019-03-12 05:55:23,Clinton East,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-29 19:06:41,2019-03-29 19:12:29,Midtown East,Midtown East,Manhattan,Manhattan
2019-03-22 21:56:35,2019-03-22 22:04:37,Meatpacking/West Village West,TriBeCa/Civic Center,Manhattan,Manhattan
2019-03-08 11:33:44,2019-03-08 11:41:47,Upper West Side North,Lincoln Square East,Manhattan,Manhattan
2019-03-28 07:24:07,2019-03-28 07:28:17,Kips Bay,Gramercy,Manhattan,Manhattan
2019-03-12 21:34:00,2019-03-12 21:46:47,Lincoln Square East,Upper East Side North,Manhattan,Manhattan
2019-03-08 12:41:27,2019-03-08 12:57:30,Upper West Side North,Midtown North,Manhattan,Manhattan
2019-03-01 05:23:59,2019-03-01 05:27:33,Times Sq/Theatre District,Clinton East,Manhattan,Manhattan
2019-03-13 22:25:23,2019-03-13 22:35:01,Union Sq,Lower East Side,Manhattan,Manhattan
2019-03-06 13:58:42,2019-03-06 14:12:15,Midtown North,Midtown East,Manhattan,Manhattan
2019-03-09 23:04:18,2019-03-09 23:17:09,Lincoln Square East,Clinton East,Manhattan,Manhattan
2019-03-09 17:11:10,2019-03-09 17:28:21,Midtown East,Midtown South,Manhattan,Manhattan
2019-03-17 21:00:25,2019-03-17 21:43:21,JFK Airport,East Village,Queens,Manhattan
2019-03-21 06:15:31,2019-03-21 06:21:39,Garment District,Midtown Center,Manhattan,Manhattan
2019-03-28 12:10:52,2019-03-28 12:19:29,Upper East Side North,Upper East Side South,Manhattan,Manhattan
2019-03-09 13:18:27,2019-03-09 13:36:08,Yorkville West,Midtown South,Manhattan,Manhattan
2019-03-07 07:14:15,2019-03-07 07:31:19,East Chelsea,Upper West Side North,Manhattan,Manhattan
2019-03-07 20:36:25,2019-03-07 20:51:36,Midtown Center,Yorkville East,Manhattan,Manhattan
2019-03-23 19:54:25,2019-03-23 20:03:42,East Village,Kips Bay,Manhattan,Manhattan
2019-03-31 20:36:12,2019-03-31 20:49:40,West Chelsea/Hudson Yards,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-08 20:50:10,2019-03-08 20:59:40,Kips Bay,East Village,Manhattan,Manhattan
2019-03-06 23:21:52,2019-03-06 23:45:30,JFK Airport,Murray Hill,Queens,Manhattan
2019-03-04 19:20:45,2019-03-04 19:33:27,Midtown East,East Village,Manhattan,Manhattan
2019-03-21 16:54:37,2019-03-21 17:02:59,Flatiron,Midtown South,Manhattan,Manhattan
2019-03-15 06:50:58,2019-03-15 06:59:33,Lincoln Square West,West Chelsea/Hudson Yards,Manhattan,Manhattan
2019-03-24 21:01:26,2019-03-24 21:13:11,UN/Turtle Bay South,Lower East Side,Manhattan,Manhattan
2019-03-26 20:13:27,2019-03-26 20:20:29,Greenwich Village North,East Village,Manhattan,Manhattan
2019-03-07 21:48:33,2019-03-07 22:02:02,Lenox Hill West,Morningside Heights,Manhattan,Manhattan
2019-03-16 16:24:28,2019-03-16 16:30:44,Financial District North,World Trade Center,Manhattan,Manhattan
2019-03-11 07:35:27,2019-03-11 07:49:04,LaGuardia Airport,Astoria,Queens,Queens
2019-03-14 13:52:01,2019-03-14 14:01:27,Lincoln Square West,Upper West Side South,Manhattan,Manhattan
2019-03-06 16:19:10,2019-03-06 16:22:01,Greenwich Village South,East Village,Manhattan,Manhattan
2019-03-08 10:46:23,2019-03-08 10:59:30,Sutton Place/Turtle Bay North,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-15 17:57:09,2019-03-15 18:02:16,Clinton West,Clinton West,Manhattan,Manhattan
2019-03-29 20:39:03,2019-03-29 20:50:16,East Chelsea,West Village,Manhattan,Manhattan
2019-03-27 21:37:43,2019-03-27 21:54:09,Little Italy/NoLiTa,Fort Greene,Manhattan,Brooklyn
2019-03-11 21:41:34,2019-03-11 21:48:07,Upper West Side South,Lincoln Square West,Manhattan,Manhattan
2019-03-20 12:55:52,2019-03-20 13:07:00,Lincoln Square West,Morningside Heights,Manhattan,Manhattan
2019-03-25 09:48:52,2019-03-25 09:58:21,Midtown North,Central Park,Manhattan,Manhattan
2019-03-11 10:21:33,2019-03-11 10:34:36,Midtown North,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-21 23:31:03,2019-03-21 23:42:56,Kips Bay,Lincoln Square East,Manhattan,Manhattan
2019-03-22 23:43:59,2019-03-22 23:57:03,Clinton East,Union Sq,Manhattan,Manhattan
2019-03-09 10:23:05,2019-03-09 10:36:47,Greenwich Village North,Midtown Center,Manhattan,Manhattan
