passengers,distance,fare,tip,tolls,total
1,3.7,15.0,0.0,0.0,18.3
1,1.0,5.0,1.85,0.0,11.15
1,0.76,6.0,1.96,0.0,11.76
5,0.95,7.5,2.26,0.0,13.56
1,0.8,5.0,1.75,0.0,10.55
1,7.43,24.5,5.66,0.0,33.96
2,1.9,10.0,2.0,0.0,15.3
1,0.43,4.5,1.66,0.0,9.96
1,1.32,8.5,0.0,0.0,11.8
1,16.11,44.0,13.26,5.76,66.32
1,2.59,10.5,1.0,0.0,15.3
2,1.7,10.0,0.0,0.0,14.3
0,1.6,8.5,2.95,0.0,14.75
1,0.66,5.0,0.0,0.0,8.8
1,1.9,13.0,4.05,0.0,20.35
1,0.7,5.5,0.0,0.0,9.8
6,0.91,10.5,3.45,0.0,17.25
1,1.36,9.0,1.5,0.0,13.8
1,3.07,12.0,3.06,0.0,18.36
3,1.6,8.0,0.0,0.0,11.3
1,2.78,11.5,3.06,0.0,18.36
1,3.3,18.5,4.35,0.0,26.15
2,1.42,7.0,2.58,0.0,12.88
1,2.02,9.0,2.46,0.0,14.76
1,0.9,5.0,0.0,0.0,8.3
1,0.75,4.5,0.0,0.0,8.8
1,4.41,19.0,3.0,0.0,23.3
1,0.77,5.5,1.0,0.0,9.8
1,1.2,7.5,2.15,0.0,12.95
1,0.53,4.0,0.0,0.0,7.3
1,1.3,7.5,2.35,0.0,14.15
0,2.3,12.5,1.2,0.0,17.0
1,1.95,9.5,2.56,0.0,15.36
1,13.66,38.0,9.41,5.76,56.47
1,1.2,7.5,0.0,0.0,10.8
1,2.37,10.5,2.76,0.0,16.56
2,1.1,9.0,1.33,0.0,14.63
1,1.83,12.0,3.06,0.0,18.36
1,1.1,7.5,0.0,0.0,10.8
2,4.88,15.5,3.86,0.0,23.16
1,1.28,6.5,0.0,0.0,9.8
2,16.3,52.0,10.0,5.76,71.06
1,1.48,6.5,0.0,0.0,9.8
1,3.0,13.0,3.35,0.0,20.15
1,9.19,30.5,7.41,5.76,44.47
1,1.88,11.0,2.86,0.0,17.16
1,1.47,8.0,0.0,0.0,12.3
3,8.7,28.5,6.2,0.0,38.5
2,1.54,9.5,2.56,0.0,15.36
1,3.6,14.5,1.5,0.0,20.3
1,0.6,4.5,1.55,0.0,9.35
1,0.5,5.0,0.42,0.0,8.72
1,1.24,12.5,3.36,0.0,20.16
1,1.1,7.0,2.15,0.0,12.95
1,8.1,24.0,8.35,5.76,41.91
0,1.1,7.0,0.0,0.0,10.3
1,0.51,6.0,0.0,0.0,9.3
2,3.3,13.5,0.0,0.0,17.3
1,2.2,11.0,0.0,0.0,14.8
1,1.85,12.0,3.16,0.0,18.96
1,3.6,19.0,4.45,0.0,26.75
2,5.33,18.5,4.36,0.0,26.16
1,1.54,12.5,0.0,0.0,16.8
1,2.15,16.0,4.06,0.0,24.36
1,1.5,8.0,0.0,0.0,8.8
1,0.37,3.5,0.0,0.0,4.8
1,1.2,7.5,0.0,0.0,10.8
1,1.5,16.0,3.85,0.0,23.15
1,13.4,52.0,11.7,5.76,70.26
1,1.13,11.5,3.16,0.0,18.96
1,6.96,20.5,0.0,0.0,21.8
1,0.8,6.0,0.0,0.0,10.3
1,1.6,6.5,0.0,0.0,7.3
1,1.5,7.5,1.7,0.0,13.0
2,1.3,6.5,0.0,0.0,9.8
1,0.97,10.5,0.0,0.0,13.8
1,1.79,10.5,2.96,0.0,17.76
1,0.8,5.5,0.0,0.0,8.8
1,0.7,5.0,0.0,0.0,8.8
2,1.15,6.0,0.0,0.0,9.8
1,0.7,5.5,0.0,0.0,8.8
0,1.5,7.5,2.15,0.0,12.95
3,1.92,9.5,2.56,0.0,15.36
1,10.64,38.0,14.12,5.76,61.18
2,0.9,6.0,1.0,0.0,10.8
4,1.46,13.5,3.36,0.0,20.16
1,0.61,4.0,1.46,0.0,8.76
5,2.51,13.0,0.0,0.0,16.3
2,0.83,5.5,0.0,0.0,9.8
1,3.23,12.0,3.95,0.0,19.75
1,0.34,4.0,2.08,0.0,10.38
1,0.9,5.5,1.76,0.0,10.56
2,4.1,17.0,1.0,0.0,21.8
1,1.6,8.0,2.45,0.0,14.75
1,1.76,8.5,1.5,0.0,14.3
1,0.8,6.0,0.0,0.0,9.3
1,16.8,52.0,13.1,5.76,78.66
6,0.27,3.5,2.04,0.0,8.84
3,2.79,10.5,4.29,0.0,18.59
2,0.82,5.0,0.0,0.0,8.3
1,0.8,5.0,0.0,0.0,9.3
1,0.73,5.5,1.96,0.0,11.76
1,1.7,8.0,2.35,0.0,14.15
1,1.63,10.0,0.0,0.0,14.3
3,3.38,11.5,2.56,0.0,15.36
2,4.11,18.0,4.36,0.0,26.16
5,3.79,14.0,3.06,0.0,18.36
1,1.1,11.0,2.85,0.0,17.15
1,0.13,4.5,0.0,0.0,5.8
2,1.4,7.5,1.0,0.0,12.3
2,1.43,8.0,0.0,0.0,11.8
1,5.77,29.5,2.0,0.0,34.8
1,1.14,9.0,2.46,0.0,14.76
1,2.45,12.5,0.0,0.0,15.8
1,0.5,5.5,0.0,0.0,9.3
6,0.66,5.5,1.2,0.0,11.0
0,1.5,8.0,2.35,0.0,14.15
1,1.3,8.0,2.25,0.0,13.55
1,0.8,5.0,1.25,0.0,9.55
0,2.4,10.5,2.0,0.0,16.3
1,1.9,11.5,2.22,0.0,17.02
1,0.7,4.5,0.0,0.0,8.3
3,1.49,8.5,2.46,0.0,14.76
1,0.8,9.0,1.5,0.0,13.8
1,1.6,10.0,2.5,0.0,16.3
4,2.03,12.0,3.06,0.0,18.36
1,18.2,52.0,0.0,5.76,61.06
1,1.6,7.0,1.24,0.0,11.54
2,1.19,7.5,2.7,0.0,13.5
1,2.7,13.0,2.0,0.0,18.3
1,3.5,14.0,0.0,0.0,17.3
5,2.4,11.5,3.06,0.0,18.36
5,1.54,8.0,2.26,0.0,13.56
1,1.82,10.0,0.0,0.0,13.8
2,1.49,8.0,2.36,0.0,14.16
1,16.01,52.0,12.21,5.76,73.27
2,2.64,11.0,3.06,0.0,18.36
1,0.8,6.5,1.08,0.0,11.88
1,2.16,9.0,2.46,0.0,14.76
1,3.37,12.5,3.26,0.0,19.56
1,1.0,6.5,1.0,0.0,11.3
5,3.21,12.5,4.08,0.0,20.38
2,0.7,5.5,1.75,0.0,10.55
6,2.3,10.5,0.0,0.0,11.3
1,1.4,8.0,2.8,0.0,14.1
1,0.5,4.0,1.66,0.0,9.96
1,1.3,9.5,0.0,0.0,12.8
1,0.8,5.5,1.95,0.0,11.75
5,1.44,8.5,2.46,0.0,14.76
2,2.8,13.0,3.0,0.0,19.8
2,1.37,7.0,1.62,0.0,12.42
1,2.74,10.5,1.2,0.0,15.0
1,0.35,7.0,2.58,0.0,12.88
1,1.1,9.5,3.8,0.0,16.6
1,3.35,12.0,3.16,0.0,18.96
5,2.28,10.0,3.45,0.0,17.25
1,2.76,12.0,3.06,0.0,18.36
1,1.88,10.5,2.76,0.0,16.56
1,3.62,16.0,3.96,0.0,23.76
2,1.3,8.5,0.0,0.0,11.8
2,3.1,16.5,4.16,0.0,24.96
2,1.19,6.0,1.96,0.0,11.76
1,3.1,17.5,3.12,0.0,23.92
1,1.55,10.5,0.0,0.0,13.8
1,2.4,11.0,3.55,0.0,17.85
1,4.29,14.0,0.0,0.0,17.8
1,1.0,6.5,0.0,0.0,7.3
1,3.93,24.5,5.56,0.0,33.36
1,1.82,8.5,0.0,0.0,12.3
1,1.9,14.5,3.55,0.0,21.35
1,17.1,52.0,0.0,0.0,55.3
1,2.86,12.5,3.16,0.0,18.96
1,3.0,17.0,2.5,0.0,23.8
1,0.51,3.5,1.36,0.0,8.16
1,2.34,15.5,0.0,0.0,19.3
5,0.95,6.5,1.96,0.0,11.76
1,1.4,7.0,0.0,0.0,8.3
1,1.74,7.5,2.16,0.0,12.96
6,2.39,10.5,2.96,0.0,17.76
1,0.33,4.0,0.8,0.0,8.6
1,0.8,6.5,2.15,0.0,12.95
1,1.8,8.5,3.2,0.0,16.0
1,2.7,16.0,4.8,0.0,24.1
1,4.43,18.0,0.0,0.0,18.8
1,0.5,4.5,1.0,0.0,8.8
1,1.25,12.0,3.82,0.0,19.12
1,1.12,6.0,1.96,0.0,11.76
1,0.7,6.5,1.95,0.0,11.75
3,5.8,21.5,5.05,0.0,30.35
1,1.5,13.5,3.36,0.0,20.16
2,3.98,17.5,0.0,0.0,20.8
1,4.31,15.0,0.0,0.0,18.8
6,2.89,11.0,5.0,0.0,19.3
1,2.19,9.0,3.08,0.0,15.38
1,2.49,11.0,2.96,0.0,17.76
1,0.99,6.0,1.86,0.0,11.16
1,0.99,9.0,2.66,0.0,15.96
6,1.15,6.5,2.06,0.0,12.36
1,18.0,52.0,12.2,5.76,73.26
1,4.83,17.0,0.0,0.0,17.8
1,2.81,11.5,1.7,0.0,17.0
0,3.5,17.5,3.0,0.0,24.8
1,18.98,52.0,13.82,0.0,69.12
1,1.67,10.0,0.0,0.0,13.3
2,2.6,12.5,2.65,0.0,15.95
6,2.72,12.5,3.16,0.0,18.96
3,2.46,13.5,4.45,0.0,22.25
5,0.78,7.0,1.03,0.0,11.33
1,4.8,18.5,3.0,0.0,25.3
1,4.2,23.0,5.25,0.0,31.55
2,1.0,6.5,3.05,0.0,13.35
1,11.24,39.0,9.61,5.76,57.67
1,1.5,7.0,0.0,0.0,10.8
1,1.9,10.5,2.85,0.0,17.15
2,0.4,5.5,1.75,0.0,10.55
1,0.49,7.0,1.03,0.0,11.33
1,2.39,13.0,3.46,0.0,20.76
2,6.79,31.5,5.0,0.0,40.3
2,0.9,6.5,1.0,0.0,11.3
4,3.92,17.0,0.0,0.0,20.8
1,1.26,7.0,0.0,0.0,10.3
1,0.7,5.5,0.0,0.0,9.3
1,2.3,9.0,2.55,0.0,15.35
5,1.21,7.5,0.0,0.0,11.3
2,0.76,5.0,0.0,0.0,8.3
2,1.2,7.5,2.15,0.0,12.95
5,1.61,11.0,2.96,0.0,17.76
1,1.5,9.0,0.0,0.0,13.3
1,12.9,42.5,10.3,5.76,61.86
2,0.7,6.0,1.85,0.0,11.15
1,1.31,13.0,4.08,0.0,20.38
2,0.49,5.0,0.0,0.0,8.3
5,2.96,11.5,1.0,0.0,15.8
1,1.89,8.5,2.36,0.0,14.16
2,1.07,11.5,2.96,0.0,17.76
1,1.54,15.0,4.58,0.0,22.88
1,9.63,31.0,1.0,5.76,39.06
2,2.83,11.5,1.0,0.0,16.8
5,2.35,9.0,2.46,0.0,14.76
1,0.9,5.5,0.0,0.0,9.3
1,1.13,6.5,2.06,0.0,12.36
1,1.0,7.0,1.5,0.0,11.8
1,10.44,32.0,0.0,5.76,38.56
1,0.97,6.0,1.96,0.0,11.76
1,1.38,7.0,2.16,0.0,12.96
4,7.03,24.0,8.34,0.0,36.14
1,8.3,28.5,2.2,0.0,35.0
1,0.8,6.5,1.96,0.0,11.76
1,15.51,44.0,16.27,17.28,81.35
1,1.7,8.5,3.05,0.0,15.35
1,0.5,4.5,1.66,0.0,9.96
1,0.8,6.0,0.0,0.0,6.8
1,1.6,10.5,3.45,0.0,17.25
1,9.26,31.5,6.96,0.0,41.76
1,1.42,9.0,2.66,0.0,15.96
1,2.09,9.5,2.66,0.0,15.96
1,1.6,8.0,2.35,0.0,14.15
0,1.2,7.0,1.5,0.0,11.8
2,14.82,50.5,0.0,2.64,53.94
1,1.38,8.0,1.2,0.0,12.5
3,1.04,6.5,1.96,0.0,11.76
4,2.03,9.0,2.66,0.0,15.96
1,0.69,5.0,2.08,0.0,10.38
1,26.35,130.0,0.0,5.76,136.56
2,1.11,6.0,1.86,0.0,11.16
5,6.08,23.0,5.46,0.0,32.76
1,2.0,8.0,2.25,0.0,13.55
1,1.09,9.5,2.76,0.0,16.56
2,1.5,7.5,0.0,0.0,10.8
1,3.25,15.0,3.66,0.0,21.96
2,2.17,16.0,3.04,0.0,23.34
1,1.06,7.5,2.16,0.0,12.96
0,1.0,6.0,0.0,0.0,9.3
2,1.11,5.5,2.64,0.0,11.44
1,1.2,6.5,0.0,0.0,9.8
4,0.9,6.0,0.0,0.0,9.8
1,0.93,5.5,0.0,0.0,8.8
1,0.99,6.5,1.96,0.0,11.76
1,1.61,7.5,1.0,0.0,12.3
1,1.62,8.5,1.0,0.0,12.8
3,2.5,13.5,4.2,0.0,21.0
1,4.66,18.0,3.0,0.0,24.8
1,2.4,13.5,3.35,0.0,20.15
1,1.26,5.5,0.88,0.0,9.68
1,2.0,10.5,1.5,0.0,16.3
1,2.0,10.5,2.0,0.0,15.8
2,1.06,6.5,0.0,0.0,10.3
2,2.6,11.5,2.5,0.0,17.8
1,1.0,6.5,2.0,0.0,11.8
1,1.48,11.0,0.0,0.0,14.3
2,3.01,16.0,0.0,0.0,16.8
1,2.8,15.5,4.95,0.0,24.75
1,3.5,19.5,0.0,0.0,22.8
1,1.68,7.0,1.0,0.0,11.3
1,4.7,17.0,3.12,0.0,23.92
2,0.55,4.5,1.0,0.0,9.3
1,5.21,18.0,0.0,0.0,19.3
2,18.0,52.0,0.0,0.0,55.3
1,0.0,7.5,0.0,0.0,11.3
1,10.7,31.5,8.3,5.76,49.86
1,1.2,7.5,2.7,0.0,13.5
5,2.79,10.5,2.76,0.0,16.56
1,2.33,12.5,4.08,0.0,20.38
2,0.4,3.5,1.56,0.0,9.36
5,2.44,11.0,2.96,0.0,17.76
1,1.4,8.5,3.54,0.0,15.34
1,12.0,34.0,8.0,0.0,43.3
1,6.24,26.0,2.0,0.0,31.3
1,0.7,5.5,2.45,0.0,12.25
1,0.44,4.0,1.95,0.0,9.75
1,1.7,11.0,2.95,0.0,17.75
1,1.23,7.5,2.26,0.0,13.56
6,0.46,4.0,1.46,0.0,8.76
2,1.3,9.5,0.0,0.0,12.8
1,1.4,7.5,2.25,0.0,13.55
6,0.85,7.0,2.58,0.0,12.88
6,1.36,13.0,0.0,0.0,16.3
1,1.0,5.5,1.95,0.0,11.75
1,1.7,8.5,3.8,0.0,16.6
1,17.56,52.0,12.21,5.76,73.27
1,1.1,7.0,2.25,0.0,13.55
1,1.1,8.0,1.7,0.0,13.0
2,9.4,28.0,4.0,5.76,39.06
1,1.49,7.5,2.36,0.0,14.16
4,0.74,4.0,1.46,0.0,8.76
2,0.3,3.5,0.0,0.0,7.3
1,13.3,37.0,11.6,5.76,58.16
2,0.48,6.5,0.0,0.0,9.8
1,0.6,5.0,1.0,0.0,9.3
1,0.93,5.5,1.86,0.0,11.16
1,1.0,7.5,0.0,0.0,10.8
1,1.01,6.0,1.96,0.0,11.76
1,3.91,13.5,0.0,0.0,17.3
1,3.0,13.0,3.45,0.0,20.75
2,5.0,24.0,0.0,0.0,27.3
5,1.56,8.5,2.36,0.0,14.16
1,1.29,7.0,2.26,0.0,13.56
4,2.7,13.5,1.0,0.0,18.3
1,2.38,10.0,0.0,0.0,13.8
3,1.24,6.5,1.5,0.0,11.8
5,1.25,8.0,0.0,0.0,11.3
1,8.96,28.5,7.61,5.76,45.67
4,1.94,10.0,2.66,0.0,15.96
1,3.72,14.5,3.66,0.0,21.96
4,18.25,52.0,10.0,5.76,71.06
4,1.5,11.5,2.0,0.0,17.8
5,1.92,11.0,2.96,0.0,17.76
1,1.0,8.0,0.0,0.0,12.3
2,0.32,3.5,0.0,0.0,6.8
4,2.59,10.0,0.0,0.0,13.3
1,1.19,7.5,1.77,0.0,13.57
1,0.65,4.0,0.0,0.0,7.8
1,1.3,9.0,0.0,0.0,12.3
1,5.6,17.5,1.0,0.0,21.8
1,5.39,20.5,2.0,0.0,26.3
1,4.7,24.5,0.0,0.0,26.3
1,2.5,12.0,2.0,0.0,18.3
1,0.5,4.0,0.0,0.0,7.3
1,1.03,9.5,1.28,0.0,14.08
1,1.1,7.0,0.0,0.0,10.8
1,0.8,7.0,2.05,0.0,12.35
2,3.26,15.0,3.66,0.0,21.96
2,2.36,12.5,3.36,0.0,20.16
1,1.2,6.0,1.85,0.0,11.15
1,1.86,9.5,0.0,0.0,13.8
1,0.8,6.0,0.0,0.0,9.3
2,11.2,35.5,0.0,0.0,36.3
1,2.9,17.0,0.0,0.0,20.3
1,0.68,4.5,0.0,0.0,5.3
1,2.39,10.0,0.0,0.0,10.8
5,1.23,5.5,2.94,0.0,12.74
2,5.24,18.0,4.36,0.0,26.16
1,1.27,9.5,3.2,0.0,16.0
1,3.8,17.5,4.35,0.0,26.15
1,18.9,52.0,13.1,5.76,78.66
1,2.53,14.5,3.56,0.0,21.36
5,0.86,5.5,1.32,0.0,10.12
1,1.57,13.0,2.5,0.0,19.8
4,0.87,6.0,0.0,0.0,9.8
1,0.8,6.0,1.0,0.0,10.3
1,2.34,10.0,2.66,0.0,15.96
6,0.68,7.5,2.36,0.0,14.16
1,1.89,10.5,0.0,0.0,13.8
1,0.8,5.5,1.76,0.0,10.56
1,4.82,15.5,3.96,0.0,23.76
1,17.45,50.5,0.0,5.76,60.06
1,1.07,6.0,1.0,0.0,10.3
1,0.64,5.0,0.0,0.0,8.8
1,4.36,23.0,7.89,0.0,34.19
1,5.82,19.5,0.0,0.0,23.3
1,3.9,14.5,2.0,0.0,20.3
1,0.8,5.0,1.65,0.0,9.95
2,20.25,52.0,7.94,5.76,69.0
2,3.5,15.0,0.0,0.0,18.3
0,0.3,3.5,1.7,0.0,8.5
2,1.3,7.0,2.06,0.0,12.36
1,1.06,5.0,0.0,0.0,8.8
4,3.33,14.0,0.89,0.0,18.69
1,1.9,14.0,3.45,0.0,20.75
1,1.42,13.5,0.0,0.0,16.8
1,1.6,9.0,2.66,0.0,15.96
1,2.8,17.5,4.35,0.0,26.15
1,0.96,8.0,1.0,0.0,12.3
1,1.73,10.0,0.0,0.0,13.3
1,2.3,14.0,0.0,0.0,17.3
1,8.54,24.74,0.0,0.0,25.54
1,2.4,17.0,4.25,0.0,25.55
1,2.24,13.0,3.36,0.0,20.16
1,1.2,6.0,2.3,0.0,11.6
3,0.6,4.0,1.17,0.0,8.97
1,6.95,21.0,4.86,0.0,29.16
5,0.63,4.5,1.56,0.0,9.36
2,1.04,5.5,1.76,0.0,10.56
1,4.23,14.0,0.0,0.0,15.3
1,3.55,14.5,2.5,0.0,20.8
1,0.62,4.5,0.0,0.0,8.3
1,2.0,9.5,3.3,0.0,16.6
4,1.14,6.5,3.09,0.0,13.39
5,1.77,10.5,2.76,0.0,16.56
1,1.6,9.5,0.0,0.0,13.3
1,1.47,7.0,1.0,0.0,11.8
1,0.4,3.5,0.0,0.0,6.8
5,0.96,6.0,0.0,0.0,9.3
2,0.7,6.5,0.0,0.0,9.8
1,1.12,6.0,1.0,0.0,10.3
1,9.08,28.5,7.61,5.76,45.67
1,0.7,5.0,1.85,0.0,11.15
1,0.78,5.0,1.66,0.0,9.96
2,5.0,16.0,2.9,0.0,22.2
2,1.98,9.0,0.0,0.0,12.3
1,0.3,3.5,1.55,0.0,9.35
1,1.0,6.5,1.95,0.0,11.75
2,1.0,7.0,0.0,0.0,10.3
2,1.4,6.0,1.86,0.0,11.16
2,1.61,8.5,2.36,0.0,14.16
1,0.8,12.0,3.8,0.0,19.1
1,1.7,14.0,2.0,0.0,16.3
1,1.0,7.5,0.0,0.0,11.8
3,0.28,3.5,0.0,0.0,7.8
3,3.5,13.0,3.35,0.0,20.15
1,7.36,29.5,6.0,0.0,38.8
1,1.18,10.5,2.76,0.0,16.56
1,0.0,2.5,0.0,0.0,5.8
1,0.25,3.5,0.0,0.0,6.8
1,2.35,9.5,3.32,0.0,16.62
3,7.71,23.5,6.11,5.76,36.67
1,1.7,13.0,2.0,0.0,19.3
3,1.16,9.5,2.76,0.0,16.56
0,2.1,11.5,3.3,0.0,16.6
1,1.71,9.0,2.56,0.0,15.36
2,1.1,6.5,2.15,0.0,12.95
1,13.1,41.0,5.0,5.76,55.56
1,4.38,17.5,2.0,0.0,20.3
5,1.99,7.5,0.0,0.0,11.3
2,1.43,9.5,0.0,0.0,12.8
1,1.27,7.5,3.0,0.0,14.8
1,24.63,87.5,17.86,0.0,107.16
1,5.47,20.0,3.57,0.0,29.32
1,5.9,29.0,6.55,0.0,39.35
1,1.6,8.5,2.95,0.0,14.75
1,3.86,14.5,0.0,0.0,17.8
1,0.77,6.0,1.86,0.0,11.16
1,6.3,27.0,7.58,0.0,37.88
3,1.76,10.0,0.0,0.0,14.3
3,2.32,14.0,4.58,0.0,22.88
2,3.4,19.5,0.0,0.0,23.8
2,1.2,9.5,2.65,0.0,15.95
1,1.75,10.0,1.5,0.0,14.8
1,0.93,6.0,1.86,0.0,11.16
1,1.02,5.5,0.0,0.0,8.8
1,2.48,12.0,3.16,0.0,18.96
1,2.33,16.0,0.01,0.0,19.81
3,1.46,9.0,2.46,0.0,14.76
1,10.47,40.0,9.81,5.76,58.87
1,5.74,19.0,4.46,0.0,26.76
0,1.2,8.5,2.95,0.0,14.75
5,0.72,5.0,1.76,0.0,10.56
5,0.68,4.5,1.76,0.0,10.56
2,0.6,8.0,2.25,0.0,13.55
2,2.75,13.5,0.0,0.0,16.8
1,1.49,6.5,0.0,0.0,9.8
2,1.12,6.5,1.96,0.0,11.76
1,21.3,79.5,0.0,0.0,80.8
1,0.9,4.5,0.0,0.0,7.8
2,1.72,10.0,2.86,0.0,17.16
5,1.34,7.0,0.0,0.0,11.3
2,1.18,7.5,2.16,0.0,12.96
1,1.08,6.5,2.06,0.0,12.36
1,1.53,9.0,2.46,0.0,14.76
2,2.61,10.5,0.0,0.0,14.3
1,0.8,7.0,2.8,0.0,14.1
1,3.09,11.5,3.08,0.0,15.38
1,2.4,12.5,0.0,0.0,16.8
1,2.9,10.5,2.85,0.0,17.15
2,0.8,5.0,1.0,0.0,9.3
2,10.39,30.0,2.2,0.0,33.0
1,0.6,5.5,1.95,0.0,11.75
4,3.56,16.0,0.0,0.0,16.8
1,3.85,16.5,5.08,0.0,25.38
1,1.0,11.0,3.05,0.0,18.35
3,1.11,6.0,1.96,0.0,11.76
1,2.6,13.5,0.0,0.0,16.8
5,4.43,19.0,3.5,0.0,25.8
1,1.1,7.5,1.62,0.0,12.42
1,2.13,16.5,0.0,0.0,19.8
1,1.28,7.5,2.0,0.0,13.8
1,0.82,9.0,2.0,0.0,15.3
1,1.08,7.0,2.34,0.0,10.14
6,1.45,11.0,0.0,0.0,14.3
4,0.48,6.5,2.45,0.0,12.25
1,1.5,6.5,0.0,0.0,9.8
1,3.13,14.0,2.0,0.0,19.3
2,8.05,29.5,0.0,0.0,32.8
1,17.7,52.0,0.0,5.76,65.56
1,0.86,4.5,2.34,0.0,10.14
1,12.54,40.0,0.0,5.76,46.56
1,0.81,5.5,1.76,0.0,10.56
1,1.21,6.0,1.47,0.0,11.27
1,13.13,42.5,0.0,5.76,51.56
1,9.3,29.0,7.2,0.0,40.0
2,1.4,7.5,0.0,0.0,11.8
1,0.72,7.0,0.0,0.0,10.3
1,1.5,9.5,2.55,0.0,15.35
6,28.15,52.0,12.46,9.5,74.76
1,1.56,10.5,2.0,0.0,15.8
2,5.59,18.5,0.0,0.0,21.8
2,2.54,12.5,3.16,0.0,18.96
1,2.43,18.5,4.36,0.0,26.16
1,1.35,20.0,0.0,0.0,23.3
1,2.54,14.0,3.46,0.0,20.76
1,1.01,7.5,1.7,0.0,13.0
2,0.6,4.5,1.32,0.0,10.12
